# POE2 Wiki Category Review
#
# Format: [INCLUDE/EXCLUDE] Category Name (pages: N, subcats: N)
# Edit the [INCLUDE] / [EXCLUDE] tags below.
# When you're happy, pass this file to the ingestor.
# Lines starting with # are comments and will be ignored.
#
# Total categories: 804

[INCLUDE] Abyss (pages: 66, subcats: 1)
[INCLUDE] Abyssal eyes (pages: 5, subcats: 0)
[INCLUDE] Abyssal monsters (pages: 6, subcats: 0)
[EXCLUDE] Accessory modifiers (pages: 4, subcats: 0)
[INCLUDE] Ailments (pages: 13, subcats: 0)
[INCLUDE] Allies (pages: 8, subcats: 0)
[EXCLUDE] Alternate charge skins (pages: 1, subcats: 0)
[EXCLUDE] Alternate skill effects (pages: 2, subcats: 0)
[INCLUDE] Ammunition gems (pages: 0, subcats: 3)
[INCLUDE] Ammunition skill gems (pages: 17, subcats: 0)
[INCLUDE] Ammunition support gems (pages: 11, subcats: 0)
[EXCLUDE] Amulet skins (pages: 22, subcats: 0)
[INCLUDE] Amulets (pages: 17, subcats: 1)
[INCLUDE] AoE gems (pages: 0, subcats: 3)
[INCLUDE] AoE meta gems (pages: 6, subcats: 0)
[INCLUDE] AoE skill gems (pages: 226, subcats: 0)
[INCLUDE] AoE support gems (pages: 61, subcats: 0)
[EXCLUDE] Archival templates (pages: 1, subcats: 0)
[INCLUDE] Area data (pages: 376, subcats: 0)
[EXCLUDE] Area screenshots (pages: 0, subcats: 2)
[INCLUDE] Areas (pages: 216, subcats: 15)
[EXCLUDE] Armour attachments (pages: 24, subcats: 0)
[EXCLUDE] Armour modifiers (pages: 0, subcats: 5)
[EXCLUDE] Armour sets (pages: 18, subcats: 0)
[EXCLUDE] Armour skins (pages: 18, subcats: 0)
[INCLUDE] Armours (pages: 9, subcats: 7)
[EXCLUDE] Articles describing bugs (pages: 26, subcats: 0)
[EXCLUDE] Articles needing updates (pages: 9, subcats: 0)
[EXCLUDE] Articles with missing files (pages: 2667, subcats: 0)
[EXCLUDE] Articles with unconfirmed statements (pages: 30, subcats: 0)
[EXCLUDE] Articles with unsourced statements (pages: 5, subcats: 0)
[INCLUDE] Ascendancy (pages: 2, subcats: 3)
[INCLUDE] Ascendancy active skills (pages: 47, subcats: 0)
[EXCLUDE] Ascendancy basic passive skills (pages: 23, subcats: 0)
[INCLUDE] Ascendancy classes (pages: 21, subcats: 8)
[EXCLUDE] Ascendancy minor passive skills (pages: 57, subcats: 0)
[EXCLUDE] Ascendancy notable passive skills (pages: 210, subcats: 0)
[EXCLUDE] Ascendancy passive skills (pages: 0, subcats: 3)
[INCLUDE] Ascension trials (pages: 6, subcats: 3)
[INCLUDE] Atlas (pages: 26, subcats: 6)
[EXCLUDE] Atlas basic passive skills (pages: 27, subcats: 0)
[EXCLUDE] Atlas keystone passive skills (pages: 4, subcats: 0)
[EXCLUDE] Atlas notable passive skills (pages: 92, subcats: 0)
[EXCLUDE] Atlas passive skills (pages: 0, subcats: 3)
[INCLUDE] Attack gems (pages: 0, subcats: 3)
[INCLUDE] Attack meta gems (pages: 3, subcats: 0)
[INCLUDE] Attack skill gems (pages: 149, subcats: 0)
[INCLUDE] Attack support gems (pages: 122, subcats: 0)
[INCLUDE] Attributes (pages: 4, subcats: 0)
[INCLUDE] Augments (pages: 1, subcats: 4)
[EXCLUDE] Augument item icons (pages: 0, subcats: 4)
[INCLUDE] Aura gems (pages: 0, subcats: 3)
[INCLUDE] Aura meta gems (pages: 1, subcats: 0)
[INCLUDE] Aura skill gems (pages: 14, subcats: 0)
[EXCLUDE] Axe icons (pages: 0, subcats: 2)
[INCLUDE] Axes (pages: 2, subcats: 3)
[INCLUDE] Banner gems (pages: 0, subcats: 3)
[INCLUDE] Banner skill gems (pages: 3, subcats: 0)
[INCLUDE] Banner support gems (pages: 1, subcats: 0)
[INCLUDE] Barrageable gems (pages: 0, subcats: 3)
[INCLUDE] Barrageable skill gems (pages: 24, subcats: 0)
[INCLUDE] Base items (pages: 2678, subcats: 0)
[INCLUDE] Bear gems (pages: 0, subcats: 3)
[INCLUDE] Bear meta gems (pages: 1, subcats: 0)
[INCLUDE] Bear skill gems (pages: 6, subcats: 0)
[INCLUDE] Beasts (pages: 2, subcats: 0)
[EXCLUDE] Belt skins (pages: 10, subcats: 0)
[INCLUDE] Belts (pages: 13, subcats: 1)
[INCLUDE] Beyond (pages: 0, subcats: 1)
[INCLUDE] Beyond monsters (pages: 1, subcats: 0)
[INCLUDE] Biomes (pages: 10, subcats: 0)
[EXCLUDE] Body armour modifiers (pages: 7, subcats: 0)
[INCLUDE] Body armours (pages: 134, subcats: 1)
[EXCLUDE] Boot modifiers (pages: 6, subcats: 0)
[INCLUDE] Boots (pages: 79, subcats: 1)
[EXCLUDE] Boots skins (pages: 19, subcats: 0)
[INCLUDE] Bows (pages: 26, subcats: 1)
[INCLUDE] Breach (pages: 26, subcats: 3)
[INCLUDE] Breach monsters (pages: 15, subcats: 0)
[INCLUDE] Breachstones (pages: 1, subcats: 0)
[INCLUDE] Bucklers (pages: 23, subcats: 1)
[INCLUDE] Buff gems (pages: 0, subcats: 3)
[INCLUDE] Buff meta gems (pages: 20, subcats: 0)
[INCLUDE] Buff skill gems (pages: 89, subcats: 0)
[INCLUDE] Buff support gems (pages: 26, subcats: 0)
[INCLUDE] Buffs (pages: 17, subcats: 0)
[INCLUDE] Campaign monsters (pages: 0, subcats: 6)
[EXCLUDE] Cargo attach templates (pages: 52, subcats: 0)
[EXCLUDE] Cargo modules (pages: 19, subcats: 0)
[EXCLUDE] Cargo table declaration templates (pages: 47, subcats: 0)
[EXCLUDE] Cargo templates (pages: 3, subcats: 4)
[INCLUDE] Catalysts (pages: 13, subcats: 0)
[INCLUDE] Chaining gems (pages: 0, subcats: 3)
[INCLUDE] Chaining skill gems (pages: 9, subcats: 0)
[INCLUDE] Chaining support gems (pages: 7, subcats: 0)
[INCLUDE] Challenge leagues (pages: 3, subcats: 0)
[INCLUDE] Channelling gems (pages: 0, subcats: 3)
[INCLUDE] Channelling skill gems (pages: 21, subcats: 0)
[INCLUDE] Channelling support gems (pages: 9, subcats: 0)
[INCLUDE] Chaos gems (pages: 0, subcats: 3)
[INCLUDE] Chaos meta gems (pages: 1, subcats: 0)
[INCLUDE] Chaos skill gems (pages: 23, subcats: 0)
[INCLUDE] Chaos support gems (pages: 31, subcats: 0)
[INCLUDE] Character classes (pages: 13, subcats: 2)
[EXCLUDE] Character effects (pages: 17, subcats: 0)
[EXCLUDE] Character portraits (pages: 0, subcats: 1)
[EXCLUDE] Character substitution templates (pages: 16, subcats: 0)
[INCLUDE] Charges (pages: 4, subcats: 0)
[INCLUDE] Charms (pages: 16, subcats: 1)
[EXCLUDE] Citation templates (pages: 1, subcats: 0)
[INCLUDE] Claws (pages: 15, subcats: 1)
[EXCLUDE] Cleanup templates (pages: 4, subcats: 1)
[INCLUDE] Cold gems (pages: 0, subcats: 3)
[INCLUDE] Cold meta gems (pages: 3, subcats: 0)
[INCLUDE] Cold skill gems (pages: 56, subcats: 0)
[INCLUDE] Cold support gems (pages: 24, subcats: 0)
[INCLUDE] Combat mechanics (pages: 37, subcats: 0)
[INCLUDE] Command gems (pages: 0, subcats: 3)
[INCLUDE] Command skill gems (pages: 11, subcats: 0)
[INCLUDE] Command support gems (pages: 4, subcats: 0)
[EXCLUDE] Community (pages: 2, subcats: 0)
[INCLUDE] Companion gems (pages: 0, subcats: 3)
[INCLUDE] Companion skill gems (pages: 7, subcats: 0)
[INCLUDE] Conditional gems (pages: 0, subcats: 3)
[INCLUDE] Conditional meta gems (pages: 2, subcats: 0)
[INCLUDE] Conditional skill gems (pages: 15, subcats: 0)
[INCLUDE] Conditional support gems (pages: 8, subcats: 0)
[INCLUDE] Consumable items (pages: 3, subcats: 0)
[EXCLUDE] Content management templates (pages: 7, subcats: 0)
[EXCLUDE] Copyright templates (pages: 8, subcats: 0)
[EXCLUDE] Copyrighted files (pages: 0, subcats: 1)
[EXCLUDE] Cosmetic item icons (pages: 0, subcats: 5)
[EXCLUDE] Cosmetic items (pages: 2, subcats: 13)
[INCLUDE] Crafting (pages: 4, subcats: 0)
[INCLUDE] Crossbows (pages: 26, subcats: 1)
[EXCLUDE] Currency item icons (pages: 0, subcats: 4)
[INCLUDE] Currency items (pages: 75, subcats: 3)
[INCLUDE] Curse gems (pages: 0, subcats: 3)
[INCLUDE] Curse skill gems (pages: 9, subcats: 0)
[INCLUDE] Curse support gems (pages: 10, subcats: 0)
[INCLUDE] Daggers (pages: 9, subcats: 1)
[INCLUDE] Damage (pages: 8, subcats: 1)
[INCLUDE] Damage types (pages: 7, subcats: 0)
[INCLUDE] Data (pages: 0, subcats: 4)
[EXCLUDE] Data templates (pages: 9, subcats: 0)
[INCLUDE] Debuffs (pages: 34, subcats: 1)
[INCLUDE] Default attacks (pages: 9, subcats: 0)
[INCLUDE] Defences (pages: 4, subcats: 0)
[INCLUDE] Delirium (pages: 22, subcats: 1)
[INCLUDE] Demons (pages: 2, subcats: 0)
[INCLUDE] Derived items (pages: 432, subcats: 0)
[INCLUDE] Detonator gems (pages: 0, subcats: 3)
[INCLUDE] Detonator skill gems (pages: 10, subcats: 0)
[INCLUDE] Devourers (pages: 1, subcats: 0)
[INCLUDE] Dexterity gems (pages: 0, subcats: 3)
[INCLUDE] Dexterity meta gems (pages: 1, subcats: 0)
[INCLUDE] Dexterity skill gems (pages: 55, subcats: 0)
[INCLUDE] Dexterity support gems (pages: 165, subcats: 0)
[EXCLUDE] Disambiguation pages (pages: 133, subcats: 0)
[EXCLUDE] Disambiguation templates (pages: 6, subcats: 0)
[EXCLUDE] Dispute templates (pages: 0, subcats: 1)
[INCLUDE] Divination cards (pages: 1, subcats: 0)
[EXCLUDE] Documentation (pages: 1, subcats: 2)
[EXCLUDE] Documentation modules (pages: 4, subcats: 0)
[EXCLUDE] Documentation subpages without corresponding pages (pages: 4, subcats: 0)
[EXCLUDE] Documentation templates (pages: 13, subcats: 0)
[INCLUDE] Druid ascendancy classes (pages: 2, subcats: 0)
[INCLUDE] Duration gems (pages: 0, subcats: 3)
[INCLUDE] Duration meta gems (pages: 6, subcats: 0)
[INCLUDE] Duration skill gems (pages: 144, subcats: 0)
[INCLUDE] Duration support gems (pages: 42, subcats: 0)
[EXCLUDE] Editnotice templates (pages: 1, subcats: 0)
[EXCLUDE] Encounter screenshots (pages: 0, subcats: 2)
[INCLUDE] Encounter unique monsters (pages: 31, subcats: 1)
[INCLUDE] Encounters (pages: 16, subcats: 6)
[INCLUDE] Epilogue quests (pages: 6, subcats: 0)
[INCLUDE] Equipment (pages: 1, subcats: 5)
[INCLUDE] Essences (pages: 82, subcats: 0)
[INCLUDE] Events (pages: 3, subcats: 1)
[INCLUDE] Expansions (pages: 3, subcats: 0)
[INCLUDE] Expedition (pages: 36, subcats: 2)
[INCLUDE] Expedition logbooks (pages: 1, subcats: 0)
[INCLUDE] Expedition monsters (pages: 3, subcats: 0)
[EXCLUDE] Experimental modules (pages: 1, subcats: 1)
[EXCLUDE] Experimental templates (pages: 1, subcats: 2)
[INCLUDE] Fate of the Vaal (pages: 53, subcats: 0)
[EXCLUDE] Files with licensing information (pages: 0, subcats: 5)
[INCLUDE] Fire gems (pages: 0, subcats: 3)
[INCLUDE] Fire meta gems (pages: 4, subcats: 0)
[INCLUDE] Fire skill gems (pages: 67, subcats: 0)
[INCLUDE] Fire support gems (pages: 38, subcats: 0)
[INCLUDE] Flails (pages: 15, subcats: 1)
[EXCLUDE] Flask modifiers (pages: 3, subcats: 0)
[EXCLUDE] Flask skins (pages: 3, subcats: 0)
[INCLUDE] Flasks (pages: 6, subcats: 3)
[INCLUDE] Foci (pages: 22, subcats: 1)
[EXCLUDE] Footnote templates (pages: 3, subcats: 1)
[EXCLUDE] Footprints effects (pages: 31, subcats: 0)
[EXCLUDE] Formatting templates (pages: 28, subcats: 4)
[INCLUDE] Game mechanics (pages: 52, subcats: 18)
[INCLUDE] Gem tags (pages: 104, subcats: 3)
[INCLUDE] Gems (pages: 2, subcats: 7)
[INCLUDE] Gems by attribute (pages: 0, subcats: 3)
[INCLUDE] Gems by tag (pages: 0, subcats: 51)
[EXCLUDE] Glove modifiers (pages: 6, subcats: 0)
[INCLUDE] Gloves (pages: 84, subcats: 1)
[EXCLUDE] Gloves skins (pages: 18, subcats: 0)
[INCLUDE] Grenade gems (pages: 0, subcats: 3)
[INCLUDE] Grenade meta gems (pages: 1, subcats: 0)
[INCLUDE] Grenade skill gems (pages: 6, subcats: 0)
[INCLUDE] Grenade support gems (pages: 3, subcats: 0)
[EXCLUDE] Grinding Gear Games (pages: 2, subcats: 0)
[EXCLUDE] Grinding Gear Games images (pages: 0, subcats: 2)
[INCLUDE] Ground effects (pages: 13, subcats: 0)
[EXCLUDE] Guide space templates (pages: 3, subcats: 0)
[EXCLUDE] Guide templates (pages: 2, subcats: 1)
[EXCLUDE] Guidelines (pages: 2, subcats: 0)
[INCLUDE] Guides (pages: 8, subcats: 0)
[EXCLUDE] Hatnote templates (pages: 13, subcats: 0)
[INCLUDE] Hazard gems (pages: 0, subcats: 3)
[INCLUDE] Hazard skill gems (pages: 4, subcats: 0)
[INCLUDE] Hazard support gems (pages: 7, subcats: 0)
[EXCLUDE] Helmet attachments (pages: 3, subcats: 0)
[EXCLUDE] Helmet modifiers (pages: 6, subcats: 0)
[EXCLUDE] Helmet skins (pages: 25, subcats: 0)
[INCLUDE] Helmets (pages: 106, subcats: 1)
[EXCLUDE] Help (pages: 12, subcats: 0)
[INCLUDE] Herald gems (pages: 0, subcats: 3)
[INCLUDE] Herald skill gems (pages: 5, subcats: 0)
[INCLUDE] Herald support gems (pages: 1, subcats: 0)
[EXCLUDE] Hidden categories (pages: 0, subcats: 25)
[INCLUDE] Hideout areas (pages: 16, subcats: 0)
[INCLUDE] Hideout decorations (pages: 5, subcats: 0)
[INCLUDE] Hideouts (pages: 2, subcats: 0)
[EXCLUDE] Historical game content (pages: 93, subcats: 0)
[INCLUDE] Huntress ascendancy classes (pages: 2, subcats: 0)
[INCLUDE] Idols (pages: 19, subcats: 0)
[EXCLUDE] Images (pages: 0, subcats: 21)
[INCLUDE] Incubators (pages: 2, subcats: 0)
[EXCLUDE] Infobox templates (pages: 1, subcats: 0)
[EXCLUDE] Infocard templates (pages: 6, subcats: 0)
[EXCLUDE] Inline cleanup templates (pages: 4, subcats: 0)
[EXCLUDE] Inline dispute templates (pages: 4, subcats: 0)
[EXCLUDE] Inline templates (pages: 3, subcats: 2)
[INCLUDE] Inscribed ultimatums (pages: 2, subcats: 0)
[INCLUDE] Instance local items (pages: 6, subcats: 0)
[INCLUDE] Intelligence gems (pages: 0, subcats: 3)
[INCLUDE] Intelligence meta gems (pages: 8, subcats: 0)
[INCLUDE] Intelligence skill gems (pages: 95, subcats: 0)
[INCLUDE] Intelligence support gems (pages: 190, subcats: 0)
[INCLUDE] Interface (pages: 13, subcats: 0)
[INCLUDE] Interlude (pages: 0, subcats: 4)
[INCLUDE] Interlude 1 areas (pages: 7, subcats: 0)
[INCLUDE] Interlude 2 areas (pages: 7, subcats: 0)
[INCLUDE] Interlude 3 areas (pages: 8, subcats: 0)
[EXCLUDE] Interlude NPCs (pages: 5, subcats: 0)
[INCLUDE] Invocation gems (pages: 0, subcats: 3)
[INCLUDE] Invocation meta gems (pages: 5, subcats: 0)
[INCLUDE] Item classes (pages: 48, subcats: 54)
[EXCLUDE] Item count templates (pages: 4, subcats: 0)
[INCLUDE] Item granted skills (pages: 51, subcats: 0)
[EXCLUDE] Item icons (pages: 0, subcats: 43)
[INCLUDE] Item lists (pages: 40, subcats: 3)
[INCLUDE] Item mechanics (pages: 16, subcats: 1)
[EXCLUDE] Item modifiers (pages: 3, subcats: 7)
[EXCLUDE] Item module maintenance categories (pages: 0, subcats: 8)
[EXCLUDE] Item modules (pages: 5, subcats: 0)
[EXCLUDE] Item skins (pages: 0, subcats: 10)
[EXCLUDE] Item table templates (pages: 17, subcats: 0)
[INCLUDE] Item tables without results (pages: 363, subcats: 1)
[EXCLUDE] Item templates (pages: 8, subcats: 2)
[INCLUDE] Items (pages: 1, subcats: 16)
[INCLUDE] Items with implicit modifier overrides (pages: 10, subcats: 0)
[EXCLUDE] Items with improper modifiers (pages: 36, subcats: 0)
[EXCLUDE] Items with invalid recipe parts (pages: 110, subcats: 0)
[EXCLUDE] Items with legacy variants (pages: 0, subcats: 2)
[EXCLUDE] Items with placeholder icons (pages: 40, subcats: 0)
[EXCLUDE] Items without a release version (pages: 66, subcats: 0)
[EXCLUDE] Jewel modifiers (pages: 6, subcats: 0)
[INCLUDE] Jewellery (pages: 1, subcats: 3)
[INCLUDE] Jewels (pages: 10, subcats: 1)
[EXCLUDE] Keystone passive skills (pages: 44, subcats: 0)
[INCLUDE] Keywords (pages: 16, subcats: 2)
[INCLUDE] Leagues (pages: 2, subcats: 2)
[EXCLUDE] Legal notices (pages: 3, subcats: 0)
[INCLUDE] Life flasks (pages: 9, subcats: 0)
[INCLUDE] Lightning gems (pages: 0, subcats: 3)
[INCLUDE] Lightning meta gems (pages: 4, subcats: 0)
[INCLUDE] Lightning skill gems (pages: 60, subcats: 0)
[INCLUDE] Lightning support gems (pages: 29, subcats: 0)
[INCLUDE] Lineage gems (pages: 0, subcats: 1)
[INCLUDE] Lineage support gems (pages: 55, subcats: 0)
[EXCLUDE] Link formatting templates (pages: 10, subcats: 0)
[EXCLUDE] Link modules (pages: 2, subcats: 0)
[INCLUDE] Liquid emotions (pages: 11, subcats: 0)
[EXCLUDE] List templates (pages: 7, subcats: 0)
[INCLUDE] Lists (pages: 2, subcats: 3)
[INCLUDE] Lists of unique items (pages: 41, subcats: 1)
[INCLUDE] Loot containers (pages: 3, subcats: 0)
[EXCLUDE] Lore (pages: 10, subcats: 0)
[EXCLUDE] Lua-based templates (pages: 108, subcats: 0)
[EXCLUDE] Mace icons (pages: 0, subcats: 2)
[INCLUDE] Maces (pages: 2, subcats: 3)
[EXCLUDE] Maintenance (pages: 0, subcats: 27)
[EXCLUDE] Maintenance templates (pages: 3, subcats: 6)
[INCLUDE] Mana flasks (pages: 9, subcats: 0)
[INCLUDE] Map areas (pages: 96, subcats: 1)
[INCLUDE] Map boss unique monsters (pages: 54, subcats: 0)
[EXCLUDE] Map fragment icons (pages: 0, subcats: 1)
[INCLUDE] Map fragments (pages: 9, subcats: 1)
[INCLUDE] Maps (pages: 3, subcats: 7)
[INCLUDE] Mark gems (pages: 0, subcats: 3)
[INCLUDE] Mark meta gems (pages: 1, subcats: 0)
[INCLUDE] Mark skill gems (pages: 4, subcats: 0)
[INCLUDE] Mark support gems (pages: 6, subcats: 0)
[EXCLUDE] Media (pages: 0, subcats: 2)
[INCLUDE] Melee gems (pages: 0, subcats: 3)
[INCLUDE] Melee meta gems (pages: 3, subcats: 0)
[INCLUDE] Melee skill gems (pages: 71, subcats: 0)
[INCLUDE] Melee support gems (pages: 57, subcats: 0)
[INCLUDE] Mercenary ascendancy classes (pages: 3, subcats: 0)
[INCLUDE] Merging gems (pages: 0, subcats: 3)
[INCLUDE] Merging skill gems (pages: 4, subcats: 0)
[INCLUDE] Meta gems (pages: 4, subcats: 51)
[EXCLUDE] Meta modules (pages: 9, subcats: 0)
[EXCLUDE] Microtransactions (pages: 5, subcats: 3)
[INCLUDE] Minion gems (pages: 0, subcats: 3)
